Pincode,Dealer,Model,Month,Financial_Year,Units_Sold
500096,rk2,ert,Oct-25,FY 25-26,40
500096,ace1,des,Oct-25,FY 25-26,6
500096,kal2,wag,Nov-25,FY 25-26,28
500096,jay2,ert,Nov-25,FY 25-26,26
500096,ada2,bre,Nov-25,FY 25-26,48
500096,ada1,eec,Dec-25,FY 25-26,44
500096,jay2,ert,Dec-25,FY 25-26,41
500096,var2,eec,Dec-25,FY 25-26,10
500096,var1,ert,Jan-26,FY 25-26,34
500096,rk1,eec,Jan-26,FY 25-26,10
500096,jay2,spr,Jan-26,FY 25-26,14
500096,ace1,wag,Feb-26,FY 25-26,18
500096,ada2,ert,Feb-26,FY 25-26,44
500096,var1,des,Feb-26,FY 25-26,18
500096,ada1,bre,Mar-26,FY 25-26,23
500096,ada2,Alt,Mar-26,FY 25-26,23
500096,ace1,bre,Mar-26,FY 25-26,43
500096,jay1,eec,Apr-26,FY 25-26,26
500096,ada1,wag,Apr-26,FY 25-26,47
500096,var1,swi,Apr-26,FY 25-26,30
500096,ace1,cel,May-26,FY 25-26,32
500096,rk2,ert,May-26,FY 25-26,50
500096,var1,spr,May-26,FY 25-26,11
500096,jay2,cel,Jun-26,FY 25-26,32
500096,var2,des,Jun-26,FY 25-26,29
500096,jay1,bre,Jun-26,FY 25-26,33
500100,var1,spr,Apr-24,FY 24-25,34
500100,kal1,eec,Apr-24,FY 24-25,26
500100,jay2,ert,Apr-24,FY 24-25,27
500100,kal2,eec,May-24,FY 24-25,20
500100,jay2,spr,May-24,FY 24-25,27
500100,ada2,cel,May-24,FY 24-25,45
500100,ada1,bre,Jun-24,FY 24-25,31
500100,rk1,cel,Jun-24,FY 24-25,35
500100,jay1,eec,Jun-24,FY 24-25,44
500100,rk1,des,Jul-24,FY 24-25,50
500100,kal2,eec,Jul-24,FY 24-25,35
500100,rk2,eec,Jul-24,FY 24-25,37
500100,var2,swi,Aug-24,FY 24-25,41
500100,kal2,Alt,Aug-24,FY 24-25,44
500100,ada2,des,Aug-24,FY 24-25,36
500100,ada2,Alt,Sep-24,FY 24-25,26
500100,rk2,des,Sep-24,FY 24-25,5
500100,ada1,swi,Sep-24,FY 24-25,50
500100,jay1,Alt,Oct-24,FY 24-25,8
500100,ada1,cel,Oct-24,FY 24-25,12
500100,rk1,spr,Oct-24,FY 24-25,32
500100,ace1,ert,Nov-24,FY 24-25,33
500100,rk2,swi,Nov-24,FY 24-25,19
500100,ada1,swi,Nov-24,FY 24-25,40
500100,rk1,bre,Dec-24,FY 24-25,26
500100,var2,eec,Dec-24,FY 24-25,38
500100,kal1,cel,Dec-24,FY 24-25,12
500100,ace1,wag,Jan-25,FY 25-26,33
500100,var2,eec,Jan-25,FY 25-26,41
500100,jay2,spr,Jan-25,FY 25-26,45
500100,ada1,des,Feb-25,FY 25-26,30
500100,var2,spr,Feb-25,FY 25-26,35
500100,jay1,ert,Feb-25,FY 25-26,25
500100,kal1,Alt,Mar-25,FY 25-26,37
500100,kal2,des,Mar-25,FY 25-26,35
500100,rk1,wag,Mar-25,FY 25-26,37
500100,ada1,des,Apr-25,FY 25-26,49
500100,ada2,swi,Apr-25,FY 25-26,6
500100,kal2,swi,Apr-25,FY 25-26,29
500100,jay1,spr,May-25,FY 25-26,20
500100,var2,swi,May-25,FY 25-26,26
500100,ace1,Alt,May-25,FY 25-26,41
500100,var1,eec,Jun-25,FY 25-26,11
500100,ace1,Alt,Jun-25,FY 25-26,15
500100,jay1,Alt,Jun-25,FY 25-26,6
500100,ada2,cel,Jul-25,FY 25-26,17
500100,var2,bre,Jul-25,FY 25-26,21
500100,jay1,ert,Jul-25,FY 25-26,50
500100,kal2,eec,Aug-25,FY 25-26,48
500100,rk1,wag,Aug-25,FY 25-26,33
500100,kal1,des,Aug-25,FY 25-26,48
500100,ada2,eec,Sep-25,FY 25-26,25
500100,ace1,swi,Sep-25,FY 25-26,6
500100,jay1,bre,Sep-25,FY 25-26,48
500100,ada2,des,Oct-25,FY 25-26,42
500100,kal1,Alt,Oct-25,FY 25-26,20
500100,ace1,ert,Oct-25,FY 25-26,26
500100,var2,cel,Nov-25,FY 25-26,45
500100,rk2,ert,Nov-25,FY 25-26,42
500100,kal2,eec,Nov-25,FY 25-26,5
500100,jay2,swi,Dec-25,FY 25-26,8
500100,kal1,eec,Dec-25,FY 25-26,24
500100,var2,des,Dec-25,FY 25-26,44
500100,var2,eec,Jan-26,FY 25-26,5
500100,jay2,cel,Jan-26,FY 25-26,42
500100,kal1,des,Jan-26,FY 25-26,46
500100,ace1,bre,Feb-26,FY 25-26,41
500100,rk1,cel,Feb-26,FY 25-26,43
500100,kal1,swi,Feb-26,FY 25-26,9
500100,rk2,spr,Mar-26,FY 25-26,41
500100,var1,ert,Mar-26,FY 25-26,20
500100,ada1,eec,Mar-26,FY 25-26,25
500100,ada2,spr,Apr-26,FY 25-26,7
500100,ada1,ert,Apr-26,FY 25-26,38
500100,var1,bre,Apr-26,FY 25-26,33
500100,ace1,ert,May-26,FY 25-26,37
500100,kal1,spr,May-26,FY 25-26,50
500100,kal2,wag,May-26,FY 25-26,8
500100,kal1,bre,Jun-26,FY 25-26,36
500100,ada2,Alt,Jun-26,FY 25-26,20
500100,jay2,Alt,Jun-26,FY 25-26,28
500873,ace1,spr,Apr-24,FY 24-25,45
500873,jay2,Alt,Apr-24,FY 24-25,33
500873,jay1,eec,Apr-24,FY 24-25,27
500873,kal2,eec,May-24,FY 24-25,17
500873,kal1,des,May-24,FY 24-25,40
500873,ada1,spr,May-24,FY 24-25,45
500873,rk2,Alt,Jun-24,FY 24-25,47
500873,kal1,bre,Jun-24,FY 24-25,40
500873,ada2,bre,Jun-24,FY 24-25,42
500873,ace1,wag,Jul-24,FY 24-25,41
500873,var1,bre,Jul-24,FY 24-25,15
500873,rk2,Alt,Jul-24,FY 24-25,49
500873,jay2,bre,Aug-24,FY 24-25,11
500873,var2,des,Aug-24,FY 24-25,31
500873,kal2,bre,Aug-24,FY 24-25,24
500873,ada1,wag,Sep-24,FY 24-25,26
500873,ada2,cel,Sep-24,FY 24-25,39
500873,jay1,wag,Sep-24,FY 24-25,35
500873,ace1,ert,Oct-24,FY 24-25,37
500873,ada1,Alt,Oct-24,FY 24-25,21
500873,ada2,swi,Oct-24,FY 24-25,10
500873,ada1,wag,Nov-24,FY 24-25,39
500873,kal2,cel,Nov-24,FY 24-25,8
500873,var1,des,Nov-24,FY 24-25,23
500873,rk2,eec,Dec-24,FY 24-25,27
500873,kal2,eec,Dec-24,FY 24-25,44
500873,jay2,Alt,Dec-24,FY 24-25,28
500873,ada2,ert,Jan-25,FY 25-26,36
500873,var1,spr,Jan-25,FY 25-26,44
500873,var2,ert,Jan-25,FY 25-26,9
500873,ada2,swi,Feb-25,FY 25-26,30
500873,rk1,des,Feb-25,FY 25-26,45
500873,ace1,swi,Feb-25,FY 25-26,47
500873,jay2,Alt,Mar-25,FY 25-26,18
500873,kal2,eec,Mar-25,FY 25-26,36
500873,var1,Alt,Mar-25,FY 25-26,39
500873,jay1,ert,Apr-25,FY 25-26,22
500873,ada1,ert,Apr-25,FY 25-26,18
500873,var2,cel,Apr-25,FY 25-26,14
500873,jay1,wag,May-25,FY 25-26,46
500873,rk1,wag,May-25,FY 25-26,29
500873,kal2,swi,May-25,FY 25-26,8
500873,var2,spr,Jun-25,FY 25-26,10
500873,rk1,wag,Jun-25,FY 25-26,31
500873,rk2,wag,Jun-25,FY 25-26,15
500873,ace1,ert,Jul-25,FY 25-26,12
500873,rk1,swi,Jul-25,FY 25-26,17
500873,kal1,eec,Jul-25,FY 25-26,35
500873,kal2,eec,Aug-25,FY 25-26,37
500873,var1,swi,Aug-25,FY 25-26,16
500873,jay1,ert,Aug-25,FY 25-26,32
500873,ada2,des,Sep-25,FY 25-26,47
500873,ada1,ert,Sep-25,FY 25-26,16
500873,var1,cel,Sep-25,FY 25-26,12
500873,ace1,ert,Oct-25,FY 25-26,33
500873,ada1,cel,Oct-25,FY 25-26,45
500873,rk2,swi,Oct-25,FY 25-26,6
500873,kal1,des,Nov-25,FY 25-26,39
500873,kal2,des,Nov-25,FY 25-26,5
500873,var1,cel,Nov-25,FY 25-26,23
500873,jay2,des,Dec-25,FY 25-26,42
500873,kal2,des,Dec-25,FY 25-26,36
500873,var1,bre,Dec-25,FY 25-26,15
500873,var2,ert,Jan-26,FY 25-26,9
500873,jay1,ert,Jan-26,FY 25-26,32
500873,kal2,eec,Jan-26,FY 25-26,43
500873,ace1,swi,Feb-26,FY 25-26,10
500873,kal2,des,Feb-26,FY 25-26,14
500873,ada1,cel,Feb-26,FY 25-26,44
500873,jay2,des,Mar-26,FY 25-26,43
500873,kal2,bre,Mar-26,FY 25-26,50
500873,rk2,Alt,Mar-26,FY 25-26,10
500873,rk1,spr,Apr-26,FY 25-26,18
500873,ada1,Alt,Apr-26,FY 25-26,44
500873,var2,swi,Apr-26,FY 25-26,5
500873,var2,spr,May-26,FY 25-26,47
500873,rk1,Alt,May-26,FY 25-26,23
500873,var1,spr,May-26,FY 25-26,36
500873,rk2,swi,Jun-26,FY 25-26,11
500873,var1,swi,Jun-26,FY 25-26,22
500873,ace1,cel,Jun-26,FY 25-26,46
504208,kal1,swi,Apr-24,FY 24-25,11
504208,jay2,swi,Apr-24,FY 24-25,47
504208,jay1,eec,Apr-24,FY 24-25,46
504208,var2,eec,May-24,FY 24-25,22
504208,jay1,spr,May-24,FY 24-25,18
504208,ace1,ert,May-24,FY 24-25,24
504208,jay1,cel,Jun-24,FY 24-25,12
504208,rk2,cel,Jun-24,FY 24-25,42
504208,var1,bre,Jun-24,FY 24-25,34
504208,kal1,eec,Jul-24,FY 24-25,16
504208,kal2,ert,Jul-24,FY 24-25,14
504208,rk2,cel,Jul-24,FY 24-25,29
504208,jay1,bre,Aug-24,FY 24-25,25
504208,ada2,eec,Aug-24,FY 24-25,30
504208,kal1,swi,Aug-24,FY 24-25,6
504208,var2,Alt,Sep-24,FY 24-25,10
504208,rk1,wag,Sep-24,FY 24-25,34
504208,ada2,cel,Sep-24,FY 24-25,49
504208,rk2,Alt,Oct-24,FY 24-25,26
504208,var2,spr,Oct-24,FY 24-25,28
504208,ada2,ert,Oct-24,FY 24-25,47
504208,rk2,des,Nov-24,FY 24-25,27
504208,jay1,swi,Nov-24,FY 24-25,26
504208,ada1,cel,Nov-24,FY 24-25,29
504208,rk1,swi,Dec-24,FY 24-25,43
504208,jay2,bre,Dec-24,FY 24-25,12
504208,ada1,eec,Dec-24,FY 24-25,46
504208,rk2,des,Jan-25,FY 25-26,13
504208,ace1,Alt,Jan-25,FY 25-26,6
504208,kal2,swi,Jan-25,FY 25-26,16
504208,ace1,eec,Feb-25,FY 25-26,33
504208,jay1,Alt,Feb-25,FY 25-26,42
504208,var2,des,Feb-25,FY 25-26,39
504208,ada1,spr,Mar-25,FY 25-26,23
504208,kal2,ert,Mar-25,FY 25-26,21
504208,var2,ert,Mar-25,FY 25-26,39
504208,ada1,spr,Apr-25,FY 25-26,25
504208,kal1,eec,Apr-25,FY 25-26,50
504208,jay2,spr,Apr-25,FY 25-26,38
504208,rk1,des,May-25,FY 25-26,15
504208,rk2,cel,May-25,FY 25-26,14
504208,ace1,ert,May-25,FY 25-26,46
504208,rk2,cel,Jun-25,FY 25-26,14
504208,rk1,des,Jun-25,FY 25-26,50
504208,kal1,spr,Jun-25,FY 25-26,9
504208,jay2,cel,Jul-25,FY 25-26,24
504208,rk1,Alt,Jul-25,FY 25-26,46
504208,rk2,cel,Jul-25,FY 25-26,10
504208,kal1,Alt,Aug-25,FY 25-26,30
504208,ada1,eec,Aug-25,FY 25-26,44
504208,var2,bre,Aug-25,FY 25-26,42
504208,rk2,ert,Sep-25,FY 25-26,47
504208,var1,swi,Sep-25,FY 25-26,47
504208,kal2,Alt,Sep-25,FY 25-26,40
504208,var1,ert,Oct-25,FY 25-26,8
504208,ada1,bre,Oct-25,FY 25-26,35
504208,rk2,bre,Oct-25,FY 25-26,31
504208,rk2,spr,Nov-25,FY 25-26,47
504208,jay1,eec,Nov-25,FY 25-26,5
504208,jay2,swi,Nov-25,FY 25-26,50
504208,kal2,cel,Dec-25,FY 25-26,29
504208,var2,cel,Dec-25,FY 25-26,12
504208,jay2,swi,Dec-25,FY 25-26,40
504208,kal2,wag,Jan-26,FY 25-26,36
504208,rk1,cel,Jan-26,FY 25-26,47
504208,var2,des,Jan-26,FY 25-26,39
504208,ada1,des,Feb-26,FY 25-26,46
504208,var1,bre,Feb-26,FY 25-26,36
504208,ace1,des,Feb-26,FY 25-26,10
504208,kal2,ert,Mar-26,FY 25-26,16
504208,kal1,swi,Mar-26,FY 25-26,14
504208,rk1,wag,Mar-26,FY 25-26,22
504208,ada1,bre,Apr-26,FY 25-26,18
504208,kal1,spr,Apr-26,FY 25-26,37
504208,ada2,Alt,Apr-26,FY 25-26,11
504208,ada2,spr,May-26,FY 25-26,39
504208,var2,eec,May-26,FY 25-26,30
504208,ace1,eec,May-26,FY 25-26,35
504208,rk1,cel,Jun-26,FY 25-26,37
504208,ada2,ert,Jun-26,FY 25-26,50
504208,kal2,ert,Jun-26,FY 25-26,22
500001,rk1,ert,Apr-24,FY 24-25,37
500001,jay1,spr,Apr-24,FY 24-25,15
500001,var2,eec,Apr-24,FY 24-25,19
500001,jay2,des,May-24,FY 24-25,36
500001,var2,swi,May-24,FY 24-25,27
500001,rk1,bre,May-24,FY 24-25,11
500001,rk1,ert,Jun-24,FY 24-25,44
500001,rk2,eec,Jun-24,FY 24-25,9
500001,jay1,Alt,Jun-24,FY 24-25,17
500001,jay1,wag,Jul-24,FY 24-25,14
500001,kal1,des,Jul-24,FY 24-25,9
500001,var2,eec,Jul-24,FY 24-25,40
500001,ada2,spr,Aug-24,FY 24-25,24
500001,var1,ert,Aug-24,FY 24-25,49
500001,ace1,Alt,Aug-24,FY 24-25,8
500001,rk1,spr,Sep-24,FY 24-25,18
500001,ace1,ert,Sep-24,FY 24-25,46
500001,ada1,des,Sep-24,FY 24-25,37
500001,rk1,wag,Oct-24,FY 24-25,19
500001,jay2,Alt,Oct-24,FY 24-25,31
500001,kal1,cel,Oct-24,FY 24-25,23
500001,jay1,spr,Nov-24,FY 24-25,23
500001,var1,Alt,Nov-24,FY 24-25,5
500001,ada1,spr,Nov-24,FY 24-25,23
500001,jay1,wag,Dec-24,FY 24-25,12
500001,jay2,swi,Dec-24,FY 24-25,34
500001,rk2,eec,Dec-24,FY 24-25,45
500001,jay2,wag,Jan-25,FY 25-26,9
500001,ada1,bre,Jan-25,FY 25-26,34
500001,ada2,bre,Jan-25,FY 25-26,50
500001,var1,cel,Feb-25,FY 25-26,48
500001,ace1,cel,Feb-25,FY 25-26,30
500001,ada2,Alt,Feb-25,FY 25-26,25
500001,kal1,ert,Mar-25,FY 25-26,36
500001,rk1,Alt,Mar-25,FY 25-26,47
500001,rk2,wag,Mar-25,FY 25-26,42
500001,kal2,cel,Apr-25,FY 25-26,44
500001,var2,swi,Apr-25,FY 25-26,29
500001,jay2,eec,Apr-25,FY 25-26,10
500001,ace1,des,May-25,FY 25-26,12
500001,ada1,spr,May-25,FY 25-26,45
500001,jay2,Alt,May-25,FY 25-26,35
500001,ada1,cel,Jun-25,FY 25-26,32
500001,var2,cel,Jun-25,FY 25-26,19
500001,kal2,spr,Jun-25,FY 25-26,6
500001,ace1,ert,Jul-25,FY 25-26,28
500001,jay1,cel,Jul-25,FY 25-26,26
500001,rk2,eec,Jul-25,FY 25-26,18
500001,rk2,spr,Aug-25,FY 25-26,8
500001,ada1,bre,Aug-25,FY 25-26,39
500001,jay2,ert,Aug-25,FY 25-26,49
500001,ace1,spr,Sep-25,FY 25-26,16
500001,jay2,bre,Sep-25,FY 25-26,21
500001,ada2,ert,Sep-25,FY 25-26,16
500001,var1,ert,Oct-25,FY 25-26,28
500001,ace1,cel,Oct-25,FY 25-26,41
500001,var2,ert,Oct-25,FY 25-26,49
500001,var2,des,Nov-25,FY 25-26,24
500001,var1,wag,Nov-25,FY 25-26,8
500001,ada2,eec,Nov-25,FY 25-26,44
500001,jay2,eec,Dec-25,FY 25-26,30
500001,ada1,ert,Dec-25,FY 25-26,7
500001,rk1,cel,Dec-25,FY 25-26,44
500001,rk2,swi,Jan-26,FY 25-26,40
500001,ada2,eec,Jan-26,FY 25-26,46
500001,kal2,eec,Jan-26,FY 25-26,42
500001,jay2,wag,Feb-26,FY 25-26,26
500001,ada1,ert,Feb-26,FY 25-26,34
500001,var2,bre,Feb-26,FY 25-26,9
500001,jay1,bre,Mar-26,FY 25-26,9
500001,var2,swi,Mar-26,FY 25-26,28
500001,rk1,ert,Mar-26,FY 25-26,18
500001,rk2,cel,Apr-26,FY 25-26,7
500001,ada1,Alt,Apr-26,FY 25-26,13
500001,ace1,spr,Apr-26,FY 25-26,15
500001,ada1,bre,May-26,FY 25-26,39
500001,ace1,cel,May-26,FY 25-26,43
500001,var1,bre,May-26,FY 25-26,34
500001,ace1,ert,Jun-26,FY 25-26,14
500001,ada1,spr,Jun-26,FY 25-26,45
500001,var2,eec,Jun-26,FY 25-26,40
500002,kal2,spr,Apr-24,FY 24-25,5
500002,rk1,bre,Apr-24,FY 24-25,50
500002,ada1,eec,Apr-24,FY 24-25,38
500002,kal2,Alt,May-24,FY 24-25,19
500002,var1,bre,May-24,FY 24-25,44
500002,ace1,eec,May-24,FY 24-25,24
500002,var1,eec,Jun-24,FY 24-25,20
500002,kal2,des,Jun-24,FY 24-25,25
500002,rk1,bre,Jun-24,FY 24-25,33
500002,var1,bre,Jul-24,FY 24-25,42
500002,ada1,des,Jul-24,FY 24-25,19
500002,ada2,bre,Jul-24,FY 24-25,43
500002,ace1,ert,Aug-24,FY 24-25,22
500002,jay1,Alt,Aug-24,FY 24-25,47
500002,var2,bre,Aug-24,FY 24-25,39
500002,var1,Alt,Sep-24,FY 24-25,42
500002,kal2,swi,Sep-24,FY 24-25,42
500002,ada1,eec,Sep-24,FY 24-25,40
500002,ada2,wag,Oct-24,FY 24-25,16
500002,kal1,wag,Oct-24,FY 24-25,43
500002,var1,Alt,Oct-24,FY 24-25,29
500002,kal1,eec,Nov-24,FY 24-25,33
500002,jay2,Alt,Nov-24,FY 24-25,19
500002,ada2,Alt,Nov-24,FY 24-25,16
500002,ace1,des,Dec-24,FY 24-25,5
500002,ada1,eec,Dec-24,FY 24-25,42
500002,jay2,swi,Dec-24,FY 24-25,38
500002,rk2,spr,Jan-25,FY 25-26,13
500002,ada2,bre,Jan-25,FY 25-26,26
500002,var1,swi,Jan-25,FY 25-26,18
500002,jay1,bre,Feb-25,FY 25-26,24
500002,rk1,wag,Feb-25,FY 25-26,42
500002,jay2,ert,Feb-25,FY 25-26,39
500002,jay2,bre,Mar-25,FY 25-26,44
500002,rk2,Alt,Mar-25,FY 25-26,19
500002,ada2,spr,Mar-25,FY 25-26,10
500002,var1,des,Apr-25,FY 25-26,33
500002,var2,wag,Apr-25,FY 25-26,10
500002,rk1,des,Apr-25,FY 25-26,48
500002,var2,swi,May-25,FY 25-26,39
500002,var1,swi,May-25,FY 25-26,30
500002,kal2,swi,May-25,FY 25-26,26
500002,var2,Alt,Jun-25,FY 25-26,29
500002,ada2,ert,Jun-25,FY 25-26,28
500002,kal2,des,Jun-25,FY 25-26,29
500002,kal1,eec,Jul-25,FY 25-26,38
500002,ada1,ert,Jul-25,FY 25-26,25
500002,var2,Alt,Jul-25,FY 25-26,24
500002,rk2,wag,Aug-25,FY 25-26,35
500002,kal2,swi,Aug-25,FY 25-26,41
500002,jay2,eec,Aug-25,FY 25-26,8
500002,rk1,swi,Sep-25,FY 25-26,16
500002,ada2,spr,Sep-25,FY 25-26,22
500002,rk2,eec,Sep-25,FY 25-26,6
500002,jay1,swi,Oct-25,FY 25-26,28
500002,ada1,wag,Oct-25,FY 25-26,17
500002,rk1,Alt,Oct-25,FY 25-26,36
500002,ada2,cel,Nov-25,FY 25-26,20
500002,var1,ert,Nov-25,FY 25-26,8
500002,kal1,wag,Nov-25,FY 25-26,33
500002,jay1,wag,Dec-25,FY 25-26,16
500002,kal1,spr,Dec-25,FY 25-26,27
500002,rk1,eec,Dec-25,FY 25-26,10
500002,rk2,wag,Jan-26,FY 25-26,46
500002,kal1,eec,Jan-26,FY 25-26,15
500002,var2,swi,Jan-26,FY 25-26,48
500002,ada1,des,Feb-26,FY 25-26,14
500002,var1,wag,Feb-26,FY 25-26,27
500002,ada2,Alt,Feb-26,FY 25-26,17
500002,kal2,swi,Mar-26,FY 25-26,47
500002,var1,spr,Mar-26,FY 25-26,33
500002,jay2,cel,Mar-26,FY 25-26,27
500002,var1,bre,Apr-26,FY 25-26,18
500002,ace1,swi,Apr-26,FY 25-26,7
500002,ada2,bre,Apr-26,FY 25-26,39
500002,var1,bre,May-26,FY 25-26,24
500002,var2,des,May-26,FY 25-26,25
500002,jay2,wag,May-26,FY 25-26,49
500002,jay2,spr,Jun-26,FY 25-26,31
500002,ada2,Alt,Jun-26,FY 25-26,47
500002,var2,spr,Jun-26,FY 25-26,27
500003,ada1,Alt,Apr-24,FY 24-25,9
500003,jay2,cel,Apr-24,FY 24-25,48
500003,rk2,wag,Apr-24,FY 24-25,47
500003,rk1,spr,May-24,FY 24-25,40
500003,var1,eec,May-24,FY 24-25,34
500003,jay2,swi,May-24,FY 24-25,18
500003,rk2,eec,Jun-24,FY 24-25,41
500003,ace1,swi,Jun-24,FY 24-25,23
500003,var2,bre,Jun-24,FY 24-25,5
500003,var1,wag,Jul-24,FY 24-25,5
500003,kal2,bre,Jul-24,FY 24-25,20
500003,jay2,des,Jul-24,FY 24-25,8
500003,jay2,ert,Aug-24,FY 24-25,15
500003,kal1,ert,Aug-24,FY 24-25,8
500003,ada1,ert,Aug-24,FY 24-25,30
500003,rk1,cel,Sep-24,FY 24-25,9
500003,kal1,eec,Sep-24,FY 24-25,34
500003,jay1,cel,Sep-24,FY 24-25,8
500003,var1,swi,Oct-24,FY 24-25,32
500003,jay1,swi,Oct-24,FY 24-25,38
500003,ace1,wag,Oct-24,FY 24-25,33
500003,rk1,bre,Nov-24,FY 24-25,40
500003,var1,wag,Nov-24,FY 24-25,38
500003,ada1,cel,Nov-24,FY 24-25,38
500003,var2,cel,Dec-24,FY 24-25,33
500003,var1,ert,Dec-24,FY 24-25,26
500003,kal2,spr,Dec-24,FY 24-25,21
500003,rk1,cel,Jan-25,FY 25-26,45
500003,var1,ert,Jan-25,FY 25-26,14
500003,kal2,cel,Jan-25,FY 25-26,15
500003,var1,wag,Feb-25,FY 25-26,9
500003,rk2,ert,Feb-25,FY 25-26,36
500003,ada2,ert,Feb-25,FY 25-26,14
500003,var1,eec,Mar-25,FY 25-26,27
500003,jay1,spr,Mar-25,FY 25-26,35
500003,rk2,des,Mar-25,FY 25-26,28
500003,kal1,spr,Apr-25,FY 25-26,10
500003,rk2,bre,Apr-25,FY 25-26,7
500003,var1,eec,Apr-25,FY 25-26,41
500003,jay2,eec,May-25,FY 25-26,25
500003,jay1,cel,May-25,FY 25-26,44
500003,var1,spr,May-25,FY 25-26,32
500003,ada2,spr,Jun-25,FY 25-26,24
500003,kal1,des,Jun-25,FY 25-26,47
500003,jay2,cel,Jun-25,FY 25-26,38
500003,kal1,Alt,Jul-25,FY 25-26,13
500003,jay2,wag,Jul-25,FY 25-26,12
500003,rk2,spr,Jul-25,FY 25-26,47
500003,ace1,des,Aug-25,FY 25-26,50
500003,jay1,wag,Aug-25,FY 25-26,38
500003,rk1,Alt,Aug-25,FY 25-26,47
500003,kal1,bre,Sep-25,FY 25-26,30
500003,jay2,swi,Sep-25,FY 25-26,16
500003,ace1,Alt,Sep-25,FY 25-26,6
500003,rk1,ert,Oct-25,FY 25-26,12
500003,ada1,swi,Oct-25,FY 25-26,29
500003,kal2,spr,Oct-25,FY 25-26,45
500003,ada2,wag,Nov-25,FY 25-26,6
500003,rk1,spr,Nov-25,FY 25-26,5
500003,var2,bre,Nov-25,FY 25-26,36
500003,ace1,spr,Dec-25,FY 25-26,49
500003,var2,Alt,Dec-25,FY 25-26,20
500003,ada1,Alt,Dec-25,FY 25-26,35
500003,rk1,des,Jan-26,FY 25-26,5
500003,ada1,eec,Jan-26,FY 25-26,19
500003,kal1,des,Jan-26,FY 25-26,32
500003,kal2,des,Feb-26,FY 25-26,48
500003,rk2,des,Feb-26,FY 25-26,5
500003,kal1,eec,Feb-26,FY 25-26,23
500003,rk2,swi,Mar-26,FY 25-26,24
500003,jay1,cel,Mar-26,FY 25-26,42
500003,kal2,Alt,Mar-26,FY 25-26,20
500003,kal1,eec,Apr-26,FY 25-26,27
500003,ada1,Alt,Apr-26,FY 25-26,15
500003,ada2,Alt,Apr-26,FY 25-26,13
500003,ada1,spr,May-26,FY 25-26,22
500003,jay2,spr,May-26,FY 25-26,50
500003,ace1,wag,May-26,FY 25-26,35
500003,jay1,bre,Jun-26,FY 25-26,10
500003,var2,spr,Jun-26,FY 25-26,44
